trip_id,start_time,end_time,bikeid,tripduration,from_station_id,from_station_name,to_station_id,to_station_name,usertype,gender,birthyear
25797409,2019-11-29 18:59:58,2019-11-29 19:05:09,5139,311.0,632,Clark St & Newport St,154,Southport Ave & Belmont Ave,Subscriber,Male,1995.0
25797775,2019-11-29 22:35:04,2019-11-29 22:43:53,1960,529.0,161,Rush St & Superior St,236,Sedgwick St & Schiller St,Subscriber,Male,1985.0
25799093,2019-11-30 16:47:46,2019-11-30 17:04:48,5558,"1,022.0",253,Winthrop Ave & Lawrence Ave,326,Clark St & Leland Ave,Subscriber,Male,1987.0
25798607,2019-11-30 13:24:40,2019-11-30 14:41:26,3714,"4,606.0",241,Morgan St & Polk St,434,Ogden Ave & Roosevelt Rd,Subscriber,Male,1992.0
25800876,2019-12-01 16:17:46,2019-12-01 16:22:05,848,258.0,107,Desplaines St & Jackson Blvd,96,Desplaines St & Randolph St,Subscriber,Female,1990.0
25800983,2019-12-01 17:11:08,2019-12-01 17:14:53,60,225.0,463,Clark St & Berwyn Ave,294,Broadway & Berwyn Ave,Subscriber,Male,1992.0
25808640,2019-12-02 20:59:04,2019-12-02 21:22:54,5277,"1,429.0",241,Morgan St & Polk St,280,Morgan St & 31st St,Subscriber,Male,1984.0
25802360,2019-12-02 07:43:18,2019-12-02 07:46:10,5744,171.0,81,Daley Center Plaza,49,Dearborn St & Monroe St,Subscriber,Male,1989.0
25804156,2019-12-02 11:05:38,2019-12-02 11:11:13,877,334.0,596,Benson Ave & Church St,604,Sheridan Rd & Noyes St (NU),Subscriber,Male,1989.0
25807504,2019-12-02 18:03:36,2019-12-02 18:09:36,5977,359.0,47,State St & Kinzie St,140,Dearborn Pkwy & Delaware Pl,Subscriber,Male,1991.0
25803094,2019-12-02 08:25:41,2019-12-02 08:29:21,6038,220.0,632,Clark St & Newport St,117,Wilton Ave & Belmont Ave,Subscriber,Male,1997.0
25804290,2019-12-02 11:48:31,2019-12-02 11:55:54,6695,442.0,37,Dearborn St & Adams St,77,Clinton St & Madison St,Customer,Male,1977.0
25807529,2019-12-02 18:04:47,2019-12-02 18:12:46,6161,479.0,327,Sheffield Ave & Webster Ave,143,Sedgwick St & Webster Ave,Subscriber,Female,1982.0
25806118,2019-12-02 16:48:46,2019-12-02 16:50:06,834,80.0,67,Sheffield Ave & Fullerton Ave,302,Sheffield Ave & Wrightwood Ave,Subscriber,Male,1990.0
25807828,2019-12-02 18:28:44,2019-12-02 18:38:24,4157,580.0,58,Marshfield Ave & Cortland St,144,Larrabee St & Webster Ave,Subscriber,Male,1985.0
25803217,2019-12-02 08:32:21,2019-12-02 08:52:05,5571,"1,183.0",637,Wood St & Chicago Ave (*),192,Canal St & Adams St,Subscriber,Male,1982.0
25811050,2019-12-03 08:46:56,2019-12-03 08:58:03,4911,667.0,303,Broadway & Cornelia Ave,231,Sheridan Rd & Montrose Ave,Subscriber,Male,1982.0
